product_name,price_after_discount,discount_percentage,merchant,merchant_city,unit_sold,product_rating
Somethinc Hangover Voluminous Fiber Lash Smudgeproof Mascara 114774934,Rp70.500,25%,Matahari Official,Kab. Tangerang,250+ terjual,4.9
Somethinc ASAP Eyelash & Brow Treatment Serum 35ml 114775148,Rp84.600,10%,Matahari Official,Kab. Tangerang,30+ terjual,4.9
Somethinc Checkmatte Transferproof Lipstick 07 Cold 120038183,Rp87.200,20%,Matahari Official,Kab. Tangerang,22 terjual,4.9
Somethinc Brow Clear Microcara Brow Gel Waterproof 114775602,Rp84.600,10%,Matahari Official,Kab. Tangerang,30+ terjual,4.9
SOMETHINC Copy Paste Tinted Suncreen 10ml,Rp44.600,45%,Tokoserba serbu,Jakarta Barat,100+ terjual,4.8
Somethinc Checkmatte Transferproof Lipstick 09 Soleyn 120038227,Rp87.200,20%,Matahari Official,Kab. Tangerang,16 terjual,4.8
Somethinc Brow Wiz 114775568,Rp68.400,10%,Matahari Official,Kab. Tangerang,250+ terjual,4.8
Somethinc Low PH Jelly Cleanser 100ml 114776254,Rp105.400,7%,Matahari Official,Kab. Tangerang,60+ terjual,4.8
Somethinc Checkmatte Lipstick 14 Witty 3.8g,Rp87.200,20%,Dan Dan Indonesia,Kab. Tangerang,12 terjual,4.7
Somethinc Forever Stay Comfort Lip Glaze 02 3g (465968),Rp77.662,29%,Dan Dan Indonesia,Kab. Tangerang,10 terjual,4.7
Somethinc Brow Wiz 114775451,Rp68.400,10%,Matahari Official,Kab. Tangerang,100+ terjual,4.6
Somethinc Srsly Balancer Makeup Setting Spray 50Ml 114774390,Rp69.700,15%,Matahari Official,Kab. Tangerang,30+ terjual,4.6
SOMETHINC DNA Airbrush Breathable Powder Foundation,Rp71.000,50%,BeautyHaul_NEW,Tangerang,30+ terjual,4.4
SOMETHINC Low pH Gentle Jelly Cleanser - Sabun Cuci Muka Semua Jenis Kulit,Rp52.400,50%,Keita Beauty Store,Bekasi,1 terjual,
Somethinc The Marionette Eyeshadow Palette Vol 2 Cool tone 120038245,Rp131.200,20%,Matahari Official,Kab. Tangerang,7 terjual,4.5
Somethinc Manuka Sugar Wax Home Kit 200gr 117918032,Rp78.400,20%,Matahari Official,Kab. Tangerang,5 terjual,4.5
