product_name,brand,category,merchant,merchant_city,merchant_type,bundle,price_before_discount,price_after_discount,discount_percentage,unit_sold,product_rating
somethinc holyshield! sunscreen comfort corrector serum spf 50+ pa++++,Somethinc,Sunscreen,Somethinc Makeup Official,Tangerang,Reseller,No,137363.0,125000.0,9,8,5.0
"somethinc makeup batman series - ceraplump tinted lip balm, low ph gentle jelly cleanser, tipsy lashlift mascara, holyshield! sunscreen gel, clay glowgasm highlighter balm, clay sculptor bronzer & contour balm,  midnight eyeshadow",Somethinc,Sunscreen,Somethinc Makeup Official,Tangerang,Reseller,No,103488.0,89000.0,14,40,4.9
somethinc holyshield uv watery sunscreen gel spf 50 50g,Somethinc,Sunscreen,nihonmart,Jakarta Utara,Reseller,No,125000.0,106250.0,15,100,5.0
somethinc - holyshield! uv watery sunscreen gel spf 50+ pa++++,Somethinc,Sunscreen,The New Routines,Jakarta Pusat,Reseller,No,125000.0,110000.0,12,100,5.0
somethinc - holyshield! sunscreen comfort corrector serum spf 50+,Somethinc,Sunscreen,The New Routines,Jakarta Pusat,Reseller,No,69000.0,60720.0,12,100,5.0
somethinc holyshield sunscreen comfort corrector serum spf 50 50ml,Somethinc,Sunscreen,nihonmart,Jakarta Utara,Reseller,No,149000.0,141550.0,5,50,4.8
somethinc body series skin goals bakuchiol firming creme botanical oil mist holyshield sunscreen stick sun serum,Somethinc,Sunscreen,Skinplaza,Jakarta Barat,Reseller,No,150794.0,95000.0,37,70,5.0
somethinc holyshield uv watery sunscreen gel spf50 15gr - 434406,Somethinc,Sunscreen,Dan Dan Indonesia,Kab. Tangerang,Retail,No,53900.0,51205.0,5,26,5.0
somethinc holyshield uv watery sunscreen gel spf50 50gr - 439038,Somethinc,Sunscreen,Dan Dan Indonesia,Kab. Tangerang,Retail,No,137500.0,130625.0,5,16,5.0
somethinc copy paste tinted sunscreen spf 40 pa++++ skin tint copypaste skintint bpom,Somethinc,Sunscreen,Skinplaza,Jakarta Barat,Reseller,No,199525.0,159620.0,20,1,4.9
somethinc copy paste tinted sunscreen spf 40 pa++++ 50ml,Somethinc,Sunscreen,Tokoserba serbu,Jakarta Barat,Reseller,No,258393.0,144700.0,44,2,5.0
somethinc copy paste tinted sunscreen spf 40 pa++++/tabir surya,Somethinc,Sunscreen,Tanina 0fficial,Jakarta Barat,Reseller,No,131176.0,44600.0,66,22,5.0
somethinc holyshield sunscreen corrector serum spf 50+ 114776058,Somethinc,Sunscreen,Matahari Official,Kab. Tangerang,Reseller,No,76000.0,64600.0,15,6,5.0
somethinc holyshield! uv watery sunscreen gel 50gr 115367220,Somethinc,Sunscreen,Matahari Official,Kab. Tangerang,Reseller,No,137500.0,116875.0,15,27,5.0
somethinc holyshield! uv watery sunscreen gel 15gr 115367211,Somethinc,Sunscreen,Matahari Official,Kab. Tangerang,Reseller,No,53900.0,45815.0,15,2,5.0
somethinc copy paste tinted sunscreen spf 40 pa++++/tabir surya,Somethinc,Sunscreen,Kios 0fficial,Jakarta Barat,Reseller,No,171538.0,44600.0,74,6,5.0
somethinc holyshield sunscreen shake mist spray spf 46 pa+++ bpom,Somethinc,Sunscreen,Skinplaza,Jakarta Barat,Reseller,No,150369.0,97740.0,35,40,4.8
somethinc copy paste tinted sunscreen spf 40 pa++++ - skin tint [new launch],Somethinc,Sunscreen,saeningstore,Surabaya,Reseller,No,159000.0,147870.0,7,250,5.0
somethinc copy paste tinted sunscreen spf 40 pa++++/tabir surya,Somethinc,Sunscreen,kiosmart,Jakarta Barat,Reseller,No,131176.0,44600.0,66,20,4.3
somethinc copy paste tinted sunscreen spf 40 pa++++,Somethinc,Sunscreen,The Beauty Connection,Depok,Reseller,No,179000.0,157520.0,12,70,5.0
somethinc sunscreen series holyshield uv watery gel stick mist spray powder bpom,Somethinc,Sunscreen,Skinplaza,Jakarta Barat,Reseller,No,149365.0,94100.0,37,2,5.0
somethinc holyshield sunscreen shake mist spf46 50ml - 438994,Somethinc,Sunscreen,Dan Dan Indonesia,Kab. Tangerang,Retail,No,120000.0,114000.0,5,2,5.0
somethinc copy paste tinted sunscreen spf 40 pa++++ - skin tint 50ml |,Somethinc,Sunscreen,Klik.Apotek,Kab. Tasikmalaya,Reseller,No,180460.0,157000.0,13,1,5.0
somethinc holyshield sunscreen comfort corrector serum spf 50+ pa++++ 50ml/tabir surya,Somethinc,Sunscreen,Tanina 0fficial,Jakarta Barat,Reseller,No,199412.0,135600.0,32,1,5.0
somethinc copy paste tinted sunscreen 50ml c02 serene 120802445,Somethinc,Sunscreen,Matahari Official,Kab. Tangerang,Reseller,No,174900.0,148665.0,15,1,5.0
